Itemno	WNUM	SentenceID	ID	CPOS	Head	DepRel
1	458	20	4	VBD	7	cop
1	458	20	5	RB	7	neg
1	459	20	6	DT	7	det
1	460	20	7	NN	0	root
1	460	20	8	.	7	punct
1	461	21	1	PRP	2	nsubj
1	462	21	2	VBD	0	root
1	463	21	3	PRP	2	dobj
1	464	21	4	TO	6	case
1	465	21	5	DT	6	det
1	466	21	6	NNS	2	nmod
1	467	21	7	PRP	8	nsubj
1	468	21	8	VBD	6	acl
1	469	21	9	TO	10	mark
1	470	21	10	VB	8	xcomp
1	470	21	11	:	2	punct
1	471	21	12	CC	2	cc
1	472	21	13	DT	15	det
1	473	21	14	NN	15	compound
1	474	21	15	NN	36	nsubj
1	475	21	16	PRP	17	nsubj
1	476	21	17	VBD	15	acl
1	476	21	18	,	20	punct
1	477	21	19	WP	20	mark
1	478	21	20	VBD	15	acl
1	479	21	21	PRP	20	dobj
1	480	21	22	IN	24	case
1	481	21	23	DT	24	det
1	482	21	24	NNS	20	nmod
1	483	21	25	CC	20	cc
1	484	21	26	VBD	20	conj
1	485	21	27	DT	28	det
1	486	21	28	NN	26	dobj
1	487	21	29	CC	28	cc
1	488	21	30	NN	28	conj
1	489	21	31	TO	32	case
1	490	21	32	PRP	26	nmod
1	490	21	33	,	20	punct
1	491	21	34	VBD	36	cop
1	492	21	35	DT	36	det
1	493	21	36	JJS	2	conj
1	494	21	37	PRP	41	nsubj
1	495	21	38	MD	41	aux
1	496	21	39	RB	41	advmod
1	497	21	40	VB	41	aux
1	498	21	41	VBN	36	acl
1	498	21	42	.	2	punct
1	499	22	1	PRP	7	nsubj
1	500	22	2	VBP	7	aux
1	501	22	3	RB	7	neg
1	502	22	4	VB	7	cop
1	503	22	5	DT	7	det
1	504	22	6	JJ	7	amod
1	505	22	7	NN	0	root
1	506	22	8	CC	7	cc
1	507	22	9	NN	7	conj
1	508	22	10	TO	12	mark
1	509	22	11	VB	12	auxpass
1	510	22	12	JJ	7	advcl
1	511	22	13	IN	16	mark
1	512	22	14	WP	16	dobj
1	513	22	15	PRP	16	nsubj
1	514	22	16	VBP	12	ccomp
1	514	22	17	.	7	punct
1	515	23	1	PRP	5	nsubj
1	516	23	2	RB	5	advmod
1	517	23	3	MD	5	aux
1	517	23	4	RB	5	neg
1	518	23	5	VB	0	root
1	519	23	6	VBG	7	auxpass
1	520	23	7	VBN	5	xcomp
1	521	23	8	RP	7	compound
1	522	23	9	IN	11	case
1	523	23	10	DT	11	det
1	524	23	11	NN	7	nmod
1	525	23	12	IN	13	case
1	526	23	13	NN	11	nmod
1	527	23	14	IN	19	case
1	528	23	15	DT	19	det
1	529	23	16	JJ	19	amod
1	530	23	17	CC	16	cc
1	531	23	18	JJ	16	conj
1	532	23	19	NN	11	nmod
1	532	23	20	.	5	punct
1	533	24	1	NNP	3	nmod
1	533	24	2	POS	1	case
1	534	24	3	NN	11	nsubj
1	534	24	4	,	6	punct
1	535	24	5	IN	6	case
1	536	24	6	CD	3	nmod
1	536	24	7	,	6	punct
1	537	24	8	IN	9	case
1	538	24	9	NN	11	nmod
1	539	24	10	NNP	9	compound
1	540	24	11	VBD	0	root
1	541	24	12	CD	13	nummod
1	542	24	13	NNS	11	advmod
1	543	24	14	RBR	13	advmod
1	543	24	15	.	11	punct
1	544	25	1	PRP	2	nsubj
1	545	25	2	VBD	0	root
1	546	25	3	IN	5	case
1	547	25	4	DT	5	det
1	548	25	5	NNS	2	nmod
1	549	25	6	CC	5	cc
1	550	25	7	DT	8	det
1	551	25	8	NNS	5	conj
1	551	25	9	,	2	punct
1	552	25	10	CC	2	cc
1	553	25	11	PRP	12	expl
1	554	25	12	VBD	2	conj
1	555	25	13	DT	15	det
1	556	25	14	JJ	15	amod
1	557	25	15	NNS	12	nsubj
1	558	25	16	WDT	17	mark
1	559	25	17	VBD	15	acl
1	560	25	18	PRP$	19	nmod
1	561	25	19	NN	17	dobj
1	562	25	20	RBS	21	advmod
1	563	25	21	RB	17	advmod
1	563	25	22	.	2	punct
1	564	26	1	PRP	4	nsubjpass
1	565	26	2	VBP	4	auxpass
1	566	26	3	RB	4	advmod
1	567	26	4	VBN	0	root
1	568	26	5	NNP	7	nmod
1	568	26	6	POS	5	case
1	569	26	7	NNS	4	xcomp
1	570	26	8	IN	10	case
1	571	26	9	PRP$	10	nmod
1	572	26	10	NN	4	nmod
1	572	26	11	.	4	punct
1	573	27	1	EX	2	expl
1	574	27	2	VBP	0	root
1	575	27	3	CD	5	nummod
1	576	27	4	JJ	5	amod
1	577	27	5	NNS	2	nsubj
1	578	27	6	IN	8	case
1	579	27	7	DT	8	det
1	580	27	8	NNS	5	nmod
1	581	27	9	IN	11	case
1	582	27	10	DT	11	det
1	583	27	11	NNS	2	nmod
1	583	27	12	(	15	punct
1	584	27	13	PRP$	14	nmod
1	585	27	14	NN	15	nsubj
1	586	27	15	VBD	2	parataxis
1	587	27	16	TO	17	mark
1	588	27	17	VB	15	xcomp
1	589	27	18	CD	17	nummod
1	590	27	19	CC	18	cc
1	591	27	20	CD	18	conj
1	591	27	21	)	15	punct
1	591	27	22	.	2	punct
1	592	28	1	DT	2	det
1	593	28	2	NN	6	nsubj
1	594	28	3	VBZ	6	cop
1	595	28	4	IN	6	case
1	596	28	5	DT	6	det
1	597	28	6	NNS	0	root
1	597	28	7	.	6	punct
1	598	29	1	DT	2	det
1	599	29	2	NNS	11	nsubj
1	600	29	3	IN	5	case
1	601	29	4	DT	5	det
1	602	29	5	NN	2	nmod
1	603	29	6	VBZ	11	aux
1	603	29	7	,	9	punct
1	604	29	8	IN	9	case
1	605	29	9	NN	11	nmod
1	605	29	10	,	9	punct
1	606	29	11	VBD	0	root
1	607	29	12	DT	15	det
1	608	29	13	RB	14	advmod
1	609	29	14	VBN	15	amod
1	610	29	15	NN	11	dobj
1	610	29	16	,	17	punct
1	611	29	17	VBD	15	amod
1	612	29	18	TO	20	case
1	613	29	19	DT	20	det
1	614	29	20	NN	17	nmod
1	615	29	21	CC	20	cc
1	616	29	22	DT	23	det
1	617	29	23	NN	20	conj
1	618	29	24	IN	27	case
1	619	29	25	DT	27	det
1	620	29	26	JJ	27	amod
1	621	29	27	NN	20	nmod
1	621	29	28	.	11	punct
1	622	30	1	DT	3	det
1	623	30	2	JJ	3	amod
1	624	30	3	NNS	7	nsubj
1	625	30	4	IN	6	case
1	626	30	5	JJ	6	amod
1	627	30	6	NNS	3	nmod
1	628	30	7	VBD	0	root
1	629	30	8	TO	9	mark
1	630	30	9	VB	7	xcomp
1	631	30	10	CD	9	dobj
1	632	30	11	IN	15	case
1	633	30	12	DT	15	det
1	634	30	13	JJS	15	amod
1	635	30	14	RB	13	advmod
1	636	30	15	NNS	10	nmod
1	637	30	16	IN	18	case
1	638	30	17	DT	18	det
1	639	30	18	NN	15	nmod
1	640	30	19	IN	21	case
1	641	30	20	JJ	21	amod
1	642	30	21	NN	18	nmod
1	642	30	22	.	7	punct
1	643	31	1	IN	3	mark
1	644	31	2	NNP	3	nsubj
1	645	31	3	VBD	11	advcl
1	645	31	4	,	3	punct
1	646	31	5	DT	6	det
1	647	31	6	NNS	11	nsubj
1	648	31	7	IN	9	case
1	649	31	8	DT	9	det
1	650	31	9	NN	6	nmod
1	651	31	10	VBP	11	aux
1	652	31	11	VBN	0	root
1	653	31	12	TO	13	mark
1	654	31	13	VB	11	xcomp
1	655	31	14	DT	16	det
1	656	31	15	JJ	16	amod
1	657	31	16	NN	13	dobj
1	658	31	17	IN	19	case
1	659	31	18	PRP$	19	nmod
1	660	31	19	NN	16	nmod
1	660	31	20	.	11	punct
1	661	32	1	IN	3	case
1	662	32	2	DT	3	det
1	663	32	3	NNS	13	nmod
1	663	32	4	,	3	punct
1	664	32	5	DT	8	det
1	665	32	6	JJ	8	amod
1	666	32	7	NN	8	compound
1	667	32	8	NN	13	nsubj
1	668	32	9	VBZ	13	aux
1	669	32	10	VBN	13	cop
1	670	32	11	IN	13	case
1	671	32	12	VBG	13	amod
1	672	32	13	NN	0	root
1	672	32	14	,	17	punct
1	673	32	15	IN	17	case
1	674	32	16	JJ	17	amod
1	675	32	17	NNS	13	nmod
1	675	32	18	,	17	punct
1	676	32	19	CC	17	cc
1	677	32	20	IN	22	case
1	678	32	21	JJ	22	amod
1	679	32	22	NNS	17	conj
1	679	32	23	,	22	punct
1	680	32	24	NNS	22	conj
1	681	32	25	CC	22	cc
1	682	32	26	NNS	22	conj
1	683	32	27	VBG	26	acl
1	684	32	28	IN	30	case
1	685	32	29	JJ	30	amod
1	686	32	30	NNS	27	nmod
1	687	32	31	CC	30	cc
1	688	32	32	NNS	30	conj
1	688	32	33	.	13	punct
1	689	33	1	RB	5	advmod
1	690	33	2	DT	4	det
1	691	33	3	NNP	4	compound
1	692	33	4	NNS	5	nsubj
1	693	33	5	VBD	0	root
1	694	33	6	VBG	5	xcomp
1	695	33	7	TO	8	mark
1	696	33	8	VB	6	xcomp
1	697	33	9	DT	11	det
1	698	33	10	VBG	11	amod
1	699	33	11	NNS	8	dobj
1	699	33	12	,	5	punct
1	700	33	13	CC	5	cc
1	701	33	14	VBP	16	aux
1	702	33	15	RB	16	advmod
1	703	33	16	VBN	5	conj
1	704	33	17	IN	18	mark
1	705	33	18	VBG	16	advcl
1	706	33	19	DT	21	det
1	707	33	20	JJ	21	amod
1	708	33	21	NNS	18	dobj
1	709	33	22	IN	24	case
1	710	33	23	JJ	24	amod
1	711	33	24	NNS	18	nmod
1	711	33	25	.	5	punct
1	712	34	1	DT	5	det
1	713	34	2	JJ	3	amod
1	714	34	3	NN	4	amod
1	715	34	4	JJ	5	amod
1	716	34	5	NN	8	nsubj
1	717	34	6	VBZ	8	cop
1	718	34	7	IN	8	case
1	719	34	8	NN	0	root
1	719	34	9	,	10	punct
1	720	34	10	VBG	8	advcl
1	721	34	11	NNS	10	dobj
1	722	34	12	IN	15	case
1	723	34	13	DT	15	det
1	724	34	14	JJ	15	amod
1	725	34	15	NN	10	nmod
1	726	34	16	IN	18	case
1	727	34	17	DT	18	det
1	728	34	18	NN	10	nmod
1	729	34	19	WRB	24	mark
1	730	34	20	PRP	24	nsubj
1	731	34	21	VBP	24	cop
1	732	34	22	IN	24	case
1	733	34	23	JJS	24	amod
1	734	34	24	NN	18	acl
1	734	34	25	,	10	punct
1	735	34	26	CC	10	cc
1	736	34	27	RB	28	advmod
1	737	34	28	VBG	10	conj
1	738	34	29	PRP	28	dobj
1	739	34	30	TO	32	case
1	740	34	31	DT	32	det
1	741	34	32	NN	28	nmod
1	741	34	33	.	8	punct
1	742	35	1	CC	3	cc
1	743	35	2	EX	3	expl
1	744	35	3	VBP	0	root
1	745	35	4	JJ	5	amod
1	746	35	5	NNS	3	nsubj
1	747	35	6	RB	3	advmod
1	748	35	7	IN	8	case
1	749	35	8	NN	3	nmod
1	750	35	9	IN	10	mark
1	751	35	10	VBG	5	acl
1	752	35	11	CC	10	cc
1	753	35	12	VBG	10	conj
1	754	35	13	DT	14	det
1	755	35	14	NN	10	dobj
1	755	35	15	:	26	punct
1	757	35	16	IN	26	mark
